Site,Name,Height (M),Stem Width (mm),# of Leaves,DSV
1,AGGI,0.75,0.53,4,5.04
1,AGGI,0.69,0.5,2,5.04
1,AGGI,0.69,0.92,1,5.04
1,AGGI,0.785,0.99,1,5.04
1,AGGI,0.84,1.63,2,5.04
1,AGGI,0.69,0.63,1,5.04
1,AGGI,0.81,1.25,2,5.04
1,AGGI,0.855,1.3,1,5.04
1,AGGI,0.69,0.5,2,5.04
1,AGGI,0.89,2.9,2,5.04
1,AGGI,0.72,0.52,1,5.04
1,AGGI,0.58,1.03,2,5.04
1,AGGI,0.62,1.37,2,5.04
1,AGGI,0.79,1,1,5.04
1,AGGI,0.8,1.26,1,5.04
1,AGGI,0.705,1.25,2,5.04
1,AGGI,0.63,0.54,2,5.04
1,AGGI,0.73,1.82,1,5.04
1,AGGI,0.71,0.72,2,5.04
1,AGGI,0.71,1.21,2,5.04
1,BRIN,1.22,3.08,3,5.04
1,BRIN,1.21,2.92,3,5.04
1,BRIN,1.39,2.97,3,5.04
1,BRIN,1.37,2.6,4,5.04
1,BRIN,1.23,3.04,3,5.04
1,BRIN,1.23,2.69,4,5.04
1,BRIN,1.11,2.49,3,5.04
1,BRIN,1.13,2.98,4,5.04
1,BRIN,1.22,2.38,4,5.04
1,BRIN,1.05,2.03,3,5.04
1,BRIN,1.13,2.31,3,5.04
1,BRIN,1.24,2.51,3,5.04
1,BRIN,1.14,2.74,4,5.04
1,BRIN,1.13,2.37,4,5.04
1,BRIN,1.12,2.83,3,5.04
1,BRIN,1.24,2.25,2,5.04
1,BRIN,1.17,2.3,3,5.04
1,BRIN,1.11,2.36,2,5.04
1,BRIN,1.13,2.91,3,5.04
1,BRIN,1.24,2.46,3,5.04
1,PHAR,1.2,2.98,2,5.04
1,PHAR,1.27,2.83,0,5.04
1,PHAR,1.17,3.91,1,5.04
1,PHAR,1.14,4.34,3,5.04
1,PHAR,1.28,3.77,2,5.04
1,PHAR,1.25,3.23,3,5.04
1,PHAR,1.2,3.98,2,5.04
1,PHAR,1.14,3.13,3,5.04
1,PHAR,1.23,4.28,3,5.04
1,PHAR,1.33,3.67,2,5.04
1,PHAR,1.15,3.09,2,5.04
1,PHAR,1.43,3.04,2,5.04
1,PHAR,1.24,3.1,2,5.04
1,PHAR,1.33,2.52,3,5.04
1,PHAR,1.335,2.58,2,5.04
1,PHAR,1.12,2.7,2,5.04
1,PHAR,1.12,3.32,3,5.04
1,PHAR,1.24,2.26,3,5.04
1,PHAR,1.29,1.18,2,5.04
1,PHAR,1.33,2.25,3,5.04
1,PHPR,1.81,1.81,3,5.04
1,PHPR,1.69,1.69,3,5.04
1,PHPR,1.94,1.94,2,5.04
1,PHPR,2.04,2.04,3,5.04
1,PHPR,1.84,1.84,2,5.04
